Project Section,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT
Project Coordination,bid acceptance,colonial,6/24/24,1,6/25/24,0,100.00%
Project Coordination,final engineering,Duane,6/24/24,2,7/7/24,0,100.00%
Procurement,Cableveys,Duane,8/5/24,1,8/6/24,0,100.00%
Procurement,Green Bean cleaner,Duane,8/28/24,1,8/29/24,0,100.00%
Procurement,bucket elevator,Duane,8/30/24,1,8/31/24,0,100.00%
Procurement,fabrication,Duane,11/4/24,1,11/5/24,0,100.00%
Procurement,load cells,Duane,8/19/24,1,8/20/24,0,100.00%
Procurement,controls,Duane,7/8/24,1,7/9/24,0,75.00%
Procurement,control components,Duane,8/21/24,1,8/22/24,0,0.00%
Delivery,Cableveys,Duane,12/5/24,2,12/7/24,0,0.00%
Delivery,Green Bean cleaner,Duane,1/24/25,2,1/26/25,0,0.00%
Delivery,bucket elevator,Duane,12/2/24,2,12/4/24,0,0.00%
Delivery,Bins,Duane,12/30/24,2,1/1/25,0,0.00%
Delivery,load cells,Duane,12/13/24,2,12/15/24,0,0.00%
Delivery,controls,Duane,12/12/24,2,12/14/24,0,0.00%
Delivery,control components,Duane,12/9/24,2,12/11/24,0,0.00%
Project Coordination,logistics and shipping,Duane,12/9/24,5,1/3/25,0,0.00%
Programming,Green System - Programming and Engineering,Sebastian,12/9/24,14,12/23/24,0,0.00%
Installation,Mobilization,Duane,1/2/25,1,1/3/25,0,0.00%
Installation,Frames,Duane,1/3/25,5,1/8/25,0,0.00%
Installation,Dump Platform,Duane,1/3/25,10,1/13/25,0,0.00%
Installation,Bucket elevator,Duane,1/13/25,5,1/18/25,0,0.00%
Installation,Green bean cleaner,Duane,1/18/25,5,1/23/25,0,0.00%
Installation,Silos + Load Cells,Duane,1/8/25,21,1/29/25,0,0.00%
Installation,Cablevey,Duane,1/3/25,35,2/7/25,0,0.00%
Electrical,Green System - Panel Fab,Aleks,12/9/24,5,12/14/24,0,0.00%
Electrical,Green System - Wiring and Terminations,Aleks,2/7/25,10,2/17/25,0,0.00%
Start Up,Green System Start up and Debug,Sebastian,2/17/25,2,2/19/25,0,0.00%